conglome,vivienda,hogar,mieperho,percepho,pobreza,gashog2d,inghog2d,ubigeo,dependientes,ingreso_prom_perceptor,diferencia_ingreso_gasto,pobreza_etiqueta,pobreza_binaria,result,nbi1,nbi2,nbi3,nbi4,nbi5
5030,8,11,2,2,3,36949.5234375,34606.44140625,10201,0,1441.93505859375,-2343.08203125,not poor,not poor,1,0,0,0,0,0
5030,17,11,2,2,3,48161.25,82028.21875,10201,0,3417.8424479166665,33866.96875,not poor,not poor,1,0,0,0,0,0
5030,33,11,4,4,3,27575.876953125,31791.029296875,10201,0,662.3131103515625,4215.15234375,not poor,not poor,1,0,1,0,0,0
5030,50,11,3,1,3,16161.04296875,24028.8671875,10201,2,2002.4055989583333,7867.82421875,not poor,not poor,1,0,0,0,0,0
5030,59,11,11,7,2,30606.212890625,46056.109375,10201,4,548.2870163690476,15449.896484375,not extreme poor,poor,1,0,1,0,0,0
5049,3,11,4,4,3,22806.416015625,31586.59765625,10701,0,658.0541178385416,8780.181640625,not poor,not poor,1,0,0,0,0,0
5049,9,11,5,2,3,30243.85546875,36253.0078125,10701,3,1510.5419921875,6009.15234375,not poor,not poor,1,0,0,0,0,0
5049,19,11,2,2,2,6640.38427734375,5599.35205078125,10701,0,233.30633544921875,-1041.0322265625,not extreme poor,poor,1,0,0,0,0,0
5049,24,11,4,2,2,10971.1494140625,11706.9375,10701,2,487.7890625,735.7880859375,not extreme poor,poor,1,0,1,0,0,0
5049,28,11,1,1,2,3470.296875,5266.6494140625,10701,0,438.887451171875,1796.3525390625,not extreme poor,poor,1,0,0,0,0,0
5049,35,11,4,3,1,8426.7265625,13236.3154296875,10701,1,367.67542860243054,4809.5888671875,extreme poor,poor,1,0,0,0,0,0
5138,25,11,4,4,2,14002.720703125,20398.634765625,10513,0,424.9715576171875,6395.9140625,not extreme poor,poor,1,0,0,0,0,0
5138,28,11,7,4,2,22692.978515625,29224.568359375,10513,3,608.8451741536459,6531.58984375,not extreme poor,poor,1,0,0,0,0,0
5138,111,11,3,1,3,15201.986328125,15321.990234375,10513,2,1276.83251953125,120.00390625,not poor,not poor,1,0,0,0,0,0
5138,118,11,4,2,3,32027.31640625,66023.1953125,10513,2,2750.9664713541665,33995.87890625,not poor,not poor,1,0,0,0,0,0
5138,119,11,4,4,1,8893.318359375,18402.1171875,10513,0,383.37744140625,9508.798828125,extreme poor,poor,1,0,0,0,0,0
5138,120,11,8,5,2,27126.419921875,30812.83984375,10513,3,513.5473307291667,3686.419921875,not extreme poor,poor,1,0,0,0,0,0
5138,121,11,1,1,3,9811.3828125,8644.2861328125,10513,0,720.357177734375,-1167.0966796875,not poor,not poor,1,0,0,0,0,0
5140,26,11,5,4,3,25029.673828125,28511.12109375,10514,1,593.981689453125,3481.447265625,not poor,not poor,1,0,0,0,0,0
5140,27,11,3,2,3,19885.0859375,11801.6376953125,10514,1,491.7349039713542,-8083.4482421875,not poor,not poor,1,0,0,0,0,0
5140,28,11,6,2,1,13475.94140625,14263.314453125,10514,4,594.3047688802084,787.373046875,extreme poor,poor,1,0,0,0,0,0
5140,88,11,2,2,3,15901.5087890625,18603.83203125,10514,0,775.15966796875,2702.3232421875,not poor,not poor,1,0,0,0,0,0
5140,89,11,3,2,3,25790.375,39664.38671875,10514,1,1652.6827799479167,13874.01171875,not poor,not poor,1,0,0,0,0,0
5140,93,11,3,1,3,13509.609375,20400.009765625,10514,2,1700.0008138020833,6890.400390625,not poor,not poor,1,0,0,0,0,0
5140,94,11,1,1,3,11170.67578125,10283.4462890625,10514,0,856.953857421875,-887.2294921875,not poor,not poor,1,0,0,0,0,0
5186,11,11,1,1,3,42849.30078125,69143.3515625,21801,0,5761.945963541667,26294.05078125,not poor,not poor,1,0,0,0,0,0
5186,23,11,3,3,3,22348.7109375,19392.974609375,21801,0,538.6937391493055,-2955.736328125,not poor,not poor,1,0,0,0,0,0
5186,33,11,6,4,3,67952.8515625,94037.3203125,21801,2,1959.11083984375,26084.46875,not poor,not poor,1,0,0,0,0,0
5186,45,11,1,1,3,24525.44140625,23045.091796875,21801,0,1920.42431640625,-1480.349609375,not poor,not poor,1,0,0,0,0,0
5186,57,11,4,4,3,50493.19140625,55108.3046875,21801,0,1148.0896809895833,4615.11328125,not poor,not poor,1,0,0,0,0,0
5186,70,11,2,2,3,21158.2421875,21529.359375,21801,0,897.056640625,371.1171875,not poor,not poor,1,0,0,0,0,0
5186,101,11,3,2,3,28579.591796875,24981.822265625,21801,1,1040.9092610677083,-3597.76953125,not poor,not poor,1,0,0,0,0,0
5186,113,11,1,1,2,2967.87646484375,2611.61108398438,21801,0,217.63425699869833,-356.26538085937,not extreme poor,poor,1,0,0,0,0,0
5257,5,11,2,2,3,91643.6328125,95735.234375,20101,0,3988.9680989583335,4091.6015625,not poor,not poor,1,0,0,0,0,0
5257,19,11,1,1,3,41750.6328125,60308.50390625,20101,0,5025.708658854167,18557.87109375,not poor,not poor,1,0,0,0,0,0
5257,43,11,4,2,3,67816.1015625,79469.484375,20101,2,3311.228515625,11653.3828125,not poor,not poor,1,0,0,0,0,0
5257,84,11,4,3,3,51994.4765625,72484.3203125,20101,1,2013.453342013889,20489.84375,not poor,not poor,1,0,0,0,0,0
5480,13,11,5,3,3,39647.46484375,47867.38671875,40104,2,1329.649631076389,8219.921875,not poor,not poor,1,0,0,0,0,0
5480,29,11,4,1,2,13868.6865234375,4744.06884765625,40104,3,395.3390706380208,-9124.61767578125,not extreme poor,poor,1,0,1,0,0,0
5480,42,11,6,2,2,18726.173828125,19706.677734375,40104,4,821.111572265625,980.50390625,not extreme poor,poor,2,0,0,0,0,0
5480,69,11,4,3,3,22806.109375,31160.046875,40104,1,865.5568576388889,8353.9375,not poor,not poor,1,0,0,0,0,0
5480,85,11,2,2,3,28549.14453125,32484.3671875,40104,0,1353.5152994791667,3935.22265625,not poor,not poor,1,0,0,0,0,0
5480,98,11,1,1,3,13387.4931640625,17891.912109375,40104,0,1490.99267578125,4504.4189453125,not poor,not poor,1,0,0,0,0,0
5511,4,11,2,2,2,5726.02685546875,7523.30078125,40103,0,313.4708658854167,1797.27392578125,not extreme poor,poor,1,0,0,0,0,0
5511,29,11,2,2,3,31400.44921875,50635.84375,40103,0,2109.8268229166665,19235.39453125,not poor,not poor,1,0,0,0,0,0
5511,43,11,1,1,3,6432.28125,7337.216796875,40103,0,611.4347330729166,904.935546875,not poor,not poor,1,0,0,0,0,0
5511,93,11,4,1,3,25987.7890625,14303.5380859375,40103,3,1191.9615071614583,-11684.2509765625,not poor,not poor,1,0,0,0,0,0
5511,124,11,4,2,3,109253.0390625,84748.9921875,40103,2,3531.2080078125,-24504.046875,not poor,not poor,1,0,0,0,0,0
5559,48,11,5,3,3,43603.32421875,94639.171875,40129,2,2628.8658854166665,51035.84765625,not poor,not poor,2,0,0,0,0,0
5559,78,11,3,1,3,73529.65625,81796.7578125,40129,2,6816.396484375,8267.1015625,not poor,not poor,2,0,0,0,0,0
5559,140,11,2,2,3,87585.1875,125739.84375,40129,0,5239.16015625,38154.65625,not poor,not poor,1,0,0,0,0,0
5559,171,11,3,2,3,40521.60546875,138000.0,40129,1,5750.0,97478.39453125,not poor,not poor,2,0,0,0,0,0
5559,202,11,4,2,3,43915.90625,117353.03125,40129,2,4889.709635416667,73437.125,not poor,not poor,1,0,0,0,0,0
5559,232,11,4,3,3,94173.4375,254180.75,40129,1,7060.576388888889,160007.3125,not poor,not poor,2,0,0,0,0,0
5570,10,11,2,2,3,12448.7646484375,29570.341796875,40122,0,1232.0975748697917,17121.5771484375,not poor,not poor,2,0,0,0,0,0
5570,60,11,2,2,2,5996.994140625,6216.19091796875,40122,0,259.00795491536456,219.19677734375,not extreme poor,poor,2,0,0,0,0,0
5570,89,11,4,3,3,30562.607421875,49743.48046875,40122,1,1381.7633463541667,19180.873046875,not poor,not poor,2,0,0,0,0,0
5570,109,11,5,4,3,26506.240234375,40401.95703125,40122,1,841.7074381510416,13895.716796875,not poor,not poor,1,0,0,0,0,0
5570,140,11,1,1,3,8933.4423828125,27868.0,40122,0,2322.3333333333335,18934.5576171875,not poor,not poor,1,0,0,0,0,0
5591,6,11,1,1,3,15967.453125,15445.052734375,40413,0,1287.0877278645833,-522.400390625,not poor,not poor,1,0,0,0,0,0
5591,18,11,5,2,2,15312.4521484375,24329.90625,40413,3,1013.74609375,9017.4541015625,not extreme poor,poor,1,0,0,0,0,0
5591,29,11,1,1,3,17318.939453125,20510.712890625,40413,0,1709.22607421875,3191.7734375,not poor,not poor,1,0,0,0,0,0
5591,65,11,4,4,3,21831.91015625,53688.17578125,40413,0,1118.503662109375,31856.265625,not poor,not poor,1,0,0,0,0,0
5591,100,11,4,3,2,19239.466796875,20413.314453125,40413,1,567.0365125868055,1173.84765625,not extreme poor,poor,1,0,0,0,0,0
5655,95,11,2,2,3,21986.53515625,26634.037109375,40608,0,1109.7515462239583,4647.501953125,not poor,not poor,1,0,0,0,0,0
5655,96,11,2,2,3,26158.126953125,47317.9453125,40608,0,1971.5810546875,21159.818359375,not poor,not poor,2,0,0,0,0,0
5655,98,11,1,1,3,20298.494140625,31741.0,40608,0,2645.0833333333335,11442.505859375,not poor,not poor,1,0,0,0,0,0
5655,272,11,5,2,3,58150.49609375,184852.515625,40608,3,7702.188151041667,126702.01953125,not poor,not poor,1,0,0,0,0,0
5655,273,11,2,2,3,15832.6630859375,12263.7626953125,40608,0,510.9901123046875,-3568.900390625,not poor,not poor,2,0,0,0,0,0
5655,275,11,3,3,3,35661.05078125,41090.43359375,40608,0,1141.4009331597222,5429.3828125,not poor,not poor,1,0,0,0,0,0
5655,281,11,2,2,2,6346.169921875,8198.9052734375,40608,0,341.6210530598958,1852.7353515625,not extreme poor,poor,1,0,0,0,0,0
5692,7,11,5,3,3,22382.0390625,29705.51953125,50101,2,825.1533203125,7323.48046875,not poor,not poor,1,0,0,0,0,0
5692,23,11,5,2,3,24734.388671875,28974.892578125,50101,3,1207.2871907552083,4240.50390625,not poor,not poor,1,0,1,0,0,0
5692,68,11,4,1,3,24567.54296875,19634.517578125,50101,3,1636.2097981770833,-4933.025390625,not poor,not poor,1,0,0,0,0,0
5692,80,11,5,3,3,52332.8359375,111110.40625,50101,2,3086.4001736111113,58777.5703125,not poor,not poor,1,0,0,0,0,0
5692,97,11,3,2,3,23555.037109375,34824.19921875,50101,1,1451.00830078125,11269.162109375,not poor,not poor,1,0,0,0,0,0
5829,64,11,2,2,3,11539.009765625,11807.0869140625,50602,0,491.9619547526042,268.0771484375,not poor,not poor,1,0,0,0,0,0
5829,66,11,3,2,3,11565.4072265625,15130.673828125,50602,1,630.4447428385416,3565.2666015625,not poor,not poor,1,0,0,0,0,0
5829,67,11,5,3,2,15228.591796875,8729.7861328125,50602,2,242.49405924479166,-6498.8056640625,not extreme poor,poor,1,0,0,0,0,0
5829,152,11,2,2,3,10397.6103515625,13450.12109375,50602,0,560.4217122395834,3052.5107421875,not poor,not poor,1,0,0,0,0,0
5829,160,11,1,1,3,7020.08203125,11821.21875,50602,0,985.1015625,4801.13671875,not poor,not poor,1,0,0,0,0,0
5886,24,11,3,2,2,12738.8173828125,12065.798828125,60801,1,502.7416178385417,-673.0185546875,not extreme poor,poor,1,0,0,0,0,0
5886,40,11,2,2,3,13379.0556640625,10911.283203125,60801,0,454.6368001302083,-2467.7724609375,not poor,not poor,1,0,0,0,0,0
5886,59,11,2,1,3,15921.9130859375,24590.216796875,60801,1,2049.1847330729165,8668.3037109375,not poor,not poor,1,0,0,1,0,0
5886,94,11,1,1,3,13825.9697265625,34172.8125,60801,0,2847.734375,20346.8427734375,not poor,not poor,1,0,0,0,0,0
5886,104,11,3,3,3,15004.6103515625,10234.6787109375,60801,0,284.296630859375,-4769.931640625,not poor,not poor,1,0,0,0,0,0
5886,147,11,4,2,2,13739.5107421875,14906.642578125,60801,2,621.110107421875,1167.1318359375,not extreme poor,poor,1,0,0,0,0,0
5893,11,11,3,1,3,16432.646484375,14796.3681640625,60401,2,1233.0306803385417,-1636.2783203125,not poor,not poor,1,0,0,0,0,0
5893,22,11,3,1,3,41433.79296875,35834.5625,60401,2,2986.2135416666665,-5599.23046875,not poor,not poor,1,0,0,0,0,0
5893,44,11,4,2,3,77002.5703125,42004.0,60401,2,1750.1666666666667,-34998.5703125,not poor,not poor,1,0,0,0,0,0
5893,57,11,2,1,3,31055.931640625,29617.40625,60401,1,2468.1171875,-1438.525390625,not poor,not poor,1,0,0,0,0,0
5893,66,11,1,1,3,34598.9453125,31477.267578125,60401,0,2623.1056315104165,-3121.677734375,not poor,not poor,1,0,0,0,0,0
5893,78,11,3,1,3,47577.546875,27071.138671875,60401,2,2255.92822265625,-20506.408203125,not poor,not poor,1,0,0,0,0,0
5944,26,11,1,1,1,2194.45678710938,6973.81005859375,60411,0,581.1508382161459,4779.3532714843695,extreme poor,poor,1,0,0,0,0,0
5944,27,11,4,3,2,11410.25,12187.90234375,60411,1,338.55284288194446,777.65234375,not extreme poor,poor,1,0,0,0,0,0
5944,32,11,3,2,3,13234.6376953125,9740.2353515625,60411,1,405.8431396484375,-3494.40234375,not poor,not poor,1,0,0,1,0,0
5944,135,11,2,2,3,14065.8154296875,22353.43359375,60411,0,931.39306640625,8287.6181640625,not poor,not poor,1,0,0,1,0,0
5944,136,11,3,3,2,7142.1923828125,13418.970703125,60411,0,372.7491861979167,6276.7783203125,not extreme poor,poor,1,0,0,0,0,0
5944,137,11,2,2,2,6325.0263671875,12132.375,60411,0,505.515625,5807.3486328125,not extreme poor,poor,1,0,0,0,0,0
5944,140,11,1,1,3,7200.45458984375,13513.1416015625,60411,0,1126.0951334635417,6312.68701171875,not poor,not poor,1,0,0,0,0,0
6011,3,11,3,2,3,18261.724609375,21376.177734375,61004,1,890.674072265625,3114.453125,not poor,not poor,1,0,0,0,0,0
6011,8,11,2,2,1,3697.87329101563,12553.130859375,61004,0,523.047119140625,8855.25756835937,extreme poor,poor,1,0,0,0,0,0
6011,16,11,5,5,2,12845.310546875,23693.59375,61004,0,394.8932291666667,10848.283203125,not extreme poor,poor,1,0,0,0,0,0
6011,23,11,1,1,3,5317.75732421875,6156.63330078125,61004,0,513.0527750651041,838.8759765625,not poor,not poor,1,0,0,0,0,0
6011,31,11,2,2,2,5934.5751953125,8469.18359375,61004,0,352.8826497395833,2534.6083984375,not extreme poor,poor,1,0,0,0,0,0
6011,46,11,3,2,3,13511.30078125,8986.3701171875,61004,1,374.4320882161458,-4524.9306640625,not poor,not poor,1,0,0,0,0,0
6011,56,11,2,2,3,25086.7578125,26366.044921875,61004,0,1098.585205078125,1279.287109375,not poor,not poor,1,0,0,0,0,0
6011,66,11,3,2,2,8924.01953125,8258.4013671875,61004,1,344.1000569661458,-665.6181640625,not extreme poor,poor,1,0,0,0,0,0
6032,10,11,3,2,3,49538.9921875,66537.421875,70106,1,2772.392578125,16998.4296875,not poor,not poor,1,0,0,0,0,0
6032,41,11,11,3,1,34786.5546875,23065.892578125,70106,8,640.71923828125,-11720.662109375,extreme poor,poor,1,0,0,0,0,0
6032,57,11,4,2,3,37412.17578125,63130.08203125,70106,2,2630.4200846354165,25717.90625,not poor,not poor,2,0,0,0,0,0
6032,87,11,4,3,3,30355.220703125,63367.9296875,70106,1,1760.2202690972222,33012.708984375,not poor,not poor,1,1,0,0,0,0
6032,102,11,4,1,3,36805.54296875,23531.806640625,70106,3,1960.98388671875,-13273.736328125,not poor,not poor,1,0,0,0,0,0
6032,131,11,2,1,2,9592.794921875,23708.0,70106,1,1975.6666666666667,14115.205078125,not extreme poor,poor,1,1,0,0,0,0
6092,56,11,4,2,3,32164.025390625,27402.591796875,70102,2,1141.774658203125,-4761.43359375,not poor,not poor,1,0,0,0,0,0
6092,78,11,5,5,3,43236.328125,45418.90234375,70102,0,756.9817057291667,2182.57421875,not poor,not poor,2,0,0,0,0,0
6092,100,11,6,2,3,101950.5625,107886.1953125,70102,4,4495.258138020833,5935.6328125,not poor,not poor,2,0,0,0,0,0
6092,123,11,7,5,3,55229.796875,79373.3203125,70102,2,1322.888671875,24143.5234375,not poor,not poor,2,0,0,0,0,0
6092,167,11,2,2,3,51388.75390625,46682.328125,70102,0,1945.0970052083333,-4706.42578125,not poor,not poor,1,0,0,0,0,0
6092,232,11,9,6,3,80457.0234375,80076.609375,70102,3,1112.1751302083333,-380.4140625,not poor,not poor,2,0,0,0,0,0
6099,19,11,2,2,3,40686.6875,55936.0,70102,0,2330.6666666666665,15249.3125,not poor,not poor,2,0,0,0,0,0
6099,35,11,2,1,3,39525.25,49640.0,70102,1,4136.666666666667,10114.75,not poor,not poor,2,0,0,0,0,0
6099,49,11,5,5,3,110961.703125,162150.84375,70102,0,2702.5140625,51189.140625,not poor,not poor,2,0,0,0,0,0
6099,95,11,2,2,3,50435.73046875,182689.171875,70102,0,7612.048828125,132253.44140625,not poor,not poor,2,0,0,0,0,0
6099,122,11,1,1,3,26443.78125,26644.74609375,70102,0,2220.3955078125,200.96484375,not poor,not poor,2,0,0,0,0,0
6193,7,11,5,3,2,17522.84765625,20653.4375,80105,2,573.7065972222222,3130.58984375,not extreme poor,poor,1,0,0,0,0,0
6193,28,11,4,2,3,22225.484375,22441.55859375,80105,2,935.06494140625,216.07421875,not poor,not poor,1,0,1,0,0,0
6193,38,11,2,2,3,14724.8525390625,24966.12109375,80105,0,1040.2550455729167,10241.2685546875,not poor,not poor,2,0,0,0,0,0
6193,48,11,1,1,3,7419.86865234375,10206.7939453125,80105,0,850.566162109375,2786.92529296875,not poor,not poor,1,0,0,0,0,0
