conglome,vivienda,hogar,result,nbi1,nbi2,nbi3,nbi4,nbi5
5007,3,11,1,0,0,0,0,0
5007,12,11,1,0,0,0,0,0
5007,22,11,1,0,0,0,0,0
5007,50,11,1,0,0,0,0,0
5009,56,11,1,0,1,0,0,0
5009,84,11,1,0,0,0,0,0
5009,98,11,1,0,1,0,0,0
5009,126,11,1,0,0,0,0,0
5027,6,11,1,0,0,0,0,0
5027,18,11,1,0,0,0,0,0
5027,44,11,1,0,0,0,0,0
5027,55,11,1,0,0,0,0,0
5027,65,11,1,0,0,0,0,0
5027,78,11,1,0,0,0,0,0
5030,8,11,1,0,0,0,0,0
5030,17,11,1,0,0,0,0,0
5030,33,11,1,0,1,0,0,0
5030,50,11,1,0,0,0,0,0
5030,59,11,1,0,1,0,0,0
5036,14,11,1,0,0,0,0,0
5036,32,11,1,0,0,0,0,0
5036,52,11,1,0,0,0,0,0
5036,72,11,1,0,0,0,0,0
5036,89,11,1,0,0,0,0,0
5038,11,11,1,0,0,0,0,0
5038,34,11,1,0,0,1,0,0
5038,40,11,1,0,0,0,0,0
5038,48,11,1,0,0,0,0,0
5039,22,11,1,0,0,0,0,0
5039,83,11,1,0,0,0,0,0
5039,101,11,1,0,0,0,0,0
5039,114,11,1,0,0,0,0,0
5045,4,11,1,0,0,0,0,0
5045,13,11,1,0,0,0,0,0
5045,33,11,1,0,0,0,0,0
5045,40,11,1,0,0,0,0,0
5045,47,11,1,0,0,0,0,0
5045,56,11,1,0,0,0,0,0
5049,3,11,1,0,0,0,0,0
5049,9,11,1,0,0,0,0,0
5049,19,11,1,0,0,0,0,0
5049,24,11,1,0,1,0,0,0
5049,28,11,1,0,0,0,0,0
5049,35,11,1,0,0,0,0,0
5061,10,11,1,0,0,0,0,0
5061,22,11,1,0,0,0,0,0
5061,34,11,1,0,0,0,0,0
5061,70,11,1,0,0,0,0,0
5061,83,11,1,0,0,0,0,0
5066,1,11,2,0,0,0,0,0
5066,45,11,1,0,0,0,0,0
5066,87,11,1,0,0,0,0,0
5066,113,11,1,0,0,0,0,0
5074,47,11,1,0,0,1,0,0
5074,48,11,1,0,0,1,0,0
5074,49,11,1,1,0,1,0,0
5074,52,11,1,0,0,1,0,0
5074,133,11,1,1,0,0,0,0
5074,134,11,1,0,0,0,0,0
5074,135,11,1,0,0,1,0,0
5074,136,11,1,1,1,0,0,0
5076,15,11,1,1,0,0,0,0
5076,16,11,1,1,1,0,0,0
5076,61,11,1,1,1,0,0,0
5076,63,11,1,1,0,0,0,0
5076,64,11,1,1,0,1,0,0
5076,65,11,1,0,0,1,0,0
5076,66,11,1,1,0,0,0,0
5087,31,11,1,0,0,0,0,0
5087,91,11,1,0,0,0,0,0
5087,93,11,1,1,0,0,0,0
5087,94,11,1,1,0,0,0,0
5087,97,11,1,1,0,0,0,0
5087,98,11,1,0,0,0,0,0
5087,99,11,1,0,0,0,0,0
5087,100,11,1,0,0,0,0,0
5088,16,11,1,0,0,1,0,0
5088,17,11,1,0,0,1,0,0
5088,18,11,1,0,0,1,0,0
5088,22,11,1,0,0,1,0,0
5088,41,11,1,0,0,0,0,0
5088,42,11,1,1,0,1,0,0
5088,50,11,1,0,0,1,0,0
5089,9,11,1,0,0,0,0,0
5089,11,11,1,0,0,0,0,0
5089,55,11,1,0,0,0,0,0
5089,57,11,1,0,0,0,0,0
5089,58,11,1,0,0,0,0,0
5089,60,11,1,1,0,1,0,0
5089,61,11,1,0,0,0,0,0
5103,69,11,1,0,0,0,0,0
5103,70,11,1,0,0,0,0,0
5103,71,11,1,0,0,0,0,0
5103,72,11,1,0,0,0,0,0
5103,192,11,1,0,0,0,0,0
5103,195,11,1,0,0,1,0,0
5103,198,11,1,1,0,0,0,0
5120,109,11,1,0,0,0,0,0
5120,110,11,1,0,0,0,0,0
5120,111,11,1,0,0,0,0,0
5120,112,11,1,0,0,0,0,0
5120,224,11,1,0,0,0,0,0
5120,226,11,1,0,0,0,0,0
5120,227,11,2,0,0,1,0,0
5121,35,11,1,1,0,0,0,0
5121,36,11,1,1,0,0,0,0
5121,37,11,1,1,0,0,0,0
5121,38,11,1,0,0,0,0,0
5121,115,11,1,0,0,0,0,0
5121,116,11,1,1,0,0,0,0
5121,118,11,1,0,0,0,0,0
5131,1,11,1,0,0,0,0,0
5131,24,11,1,0,0,0,0,0
5131,35,11,1,0,0,0,0,0
5131,57,11,1,0,0,0,0,0
5131,68,11,1,0,0,0,0,0
5131,89,11,1,0,0,0,0,0
5134,1,11,1,0,0,0,0,0
5134,3,11,1,0,0,0,0,0
5134,4,11,1,0,0,0,0,0
5134,128,11,1,0,0,0,0,0
5134,137,11,1,0,0,0,0,0
5135,2,11,1,0,0,0,0,0
5135,30,11,1,0,0,0,0,0
5135,48,11,1,0,0,0,0,0
5135,58,11,1,0,1,1,0,0
5135,82,11,1,0,0,0,0,0
5135,96,11,1,0,0,0,0,0
5138,25,11,1,0,0,0,0,0
5138,28,11,1,0,0,0,0,0
5138,111,11,1,0,0,0,0,0
5138,118,11,1,0,0,0,0,0
5138,119,11,1,0,0,0,0,0
5138,120,11,1,0,0,0,0,0
5138,121,11,1,0,0,0,0,0
5140,26,11,1,0,0,0,0,0
5140,27,11,1,0,0,0,0,0
5140,28,11,1,0,0,0,0,0
5140,88,11,1,0,0,0,0,0
5140,89,11,1,0,0,0,0,0
5140,93,11,1,0,0,0,0,0
5140,94,11,1,0,0,0,0,0
5181,6,11,1,0,0,0,0,0
5181,39,11,1,0,0,0,0,0
5181,58,11,1,0,0,0,0,0
5181,90,11,1,0,0,0,0,0
5181,107,11,1,1,0,0,0,0
5181,139,11,1,0,0,0,0,0
5184,6,11,1,0,0,0,0,0
5184,19,11,1,0,0,0,0,0
5184,42,11,1,0,0,0,0,0
5184,52,11,2,0,0,0,0,0
5184,64,11,1,0,0,0,0,0
5184,87,11,1,0,0,0,0,0
5184,98,11,1,0,0,0,0,0
5186,11,11,1,0,0,0,0,0
5186,23,11,1,0,0,0,0,0
5186,33,11,1,0,0,0,0,0
5186,45,11,1,0,0,0,0,0
5186,57,11,1,0,0,0,0,0
5186,70,11,1,0,0,0,0,0
5186,101,11,1,0,0,0,0,0
5186,113,11,1,0,0,0,0,0
5187,12,11,1,0,0,0,0,0
5187,39,11,1,0,0,0,0,0
5187,52,11,1,0,0,0,0,0
5187,78,11,1,0,0,0,0,0
5187,93,11,1,0,0,0,0,0
5187,117,11,1,0,0,0,0,0
5190,1,11,1,0,0,0,0,0
5190,19,11,1,0,0,0,0,0
5190,37,11,1,0,0,0,0,0
5190,55,11,1,0,0,0,0,0
5190,88,11,1,0,0,0,0,0
5190,124,12,1,0,0,0,0,0
5190,124,22,2,0,0,0,0,0
5192,9,12,1,0,0,0,0,0
5192,9,22,1,0,0,0,0,0
5192,24,11,1,0,0,0,0,0
5192,59,11,2,0,0,0,0,0
5192,72,11,1,0,0,0,0,0
5192,85,11,1,0,0,0,0,0
5192,101,11,2,0,0,0,0,0
5193,28,11,1,0,0,0,0,0
5193,38,11,1,0,0,0,0,0
5193,50,11,1,0,0,0,0,0
5193,61,11,2,0,0,0,0,0
5193,73,11,1,0,0,0,0,0
5193,83,11,1,0,0,0,0,0
5193,93,11,2,0,0,0,0,0
5193,116,11,1,0,0,0,0,0
5209,13,11,2,0,0,0,0,0
5209,25,11,1,0,0,0,0,0
5209,38,11,1,0,0,0,0,0
5209,51,11,1,0,0,0,0,0
5209,63,11,1,0,0,0,0,0
5209,90,11,1,0,0,0,0,0
5210,5,11,1,0,0,0,0,0
5210,25,11,1,0,0,0,0,0
5210,46,11,1,0,0,0,0,0
5210,67,11,1,0,0,0,0,0
5210,77,11,1,0,0,0,0,0
5210,87,11,1,0,0,0,0,0
5210,98,11,1,0,0,0,0,0
5215,9,11,1,0,0,0,0,0
5215,43,11,1,0,0,0,0,0
5215,62,11,2,0,0,0,0,0
5215,113,11,1,0,0,0,0,0
5215,147,11,1,0,0,0,0,0
5222,7,11,1,0,0,0,0,0
5222,19,11,1,0,0,0,0,0
5222,38,11,1,0,0,0,0,0
5222,46,11,1,0,0,0,0,0
5222,55,11,1,0,0,0,0,0
5222,65,11,1,0,0,0,0,0
5231,55,11,1,0,0,0,0,0
5231,130,11,1,0,0,0,0,0
5231,141,11,1,0,0,0,0,0
5231,145,11,1,0,0,0,0,0
5231,150,11,1,0,0,0,0,0
5231,155,11,1,0,0,0,0,0
5237,1,11,1,0,0,0,0,0
5237,14,11,1,0,0,0,0,0
5237,36,11,1,0,0,0,0,0
5237,69,11,1,0,0,0,0,0
5237,82,11,1,0,0,0,0,0
5237,91,11,1,0,0,0,0,0
5237,103,11,1,0,0,0,0,0
5237,124,11,1,0,0,0,0,0
5246,8,11,1,0,0,0,0,0
5246,26,11,1,0,0,0,0,0
5246,57,12,1,0,0,0,0,0
5246,57,22,1,0,0,0,0,0
5246,71,11,1,0,1,0,0,0
5246,86,11,1,0,0,0,0,0
5251,1,11,1,0,0,0,0,0
5251,18,11,1,0,0,0,0,0
5251,48,11,1,0,0,0,0,0
5251,64,11,1,0,0,0,0,0
5251,77,13,1,0,0,0,0,0
5251,77,23,1,0,0,0,0,0
5251,77,33,1,0,0,0,0,0
5251,93,11,1,0,0,0,0,0
5256,13,11,1,0,0,0,0,0
5256,69,11,2,0,0,0,0,0
5256,81,11,1,0,0,0,0,0
5256,103,11,1,0,0,0,0,0
5257,5,11,1,0,0,0,0,0
5257,19,11,1,0,0,0,0,0
5257,43,11,1,0,0,0,0,0
5257,84,11,1,0,0,0,0,0
5260,7,11,1,0,0,0,0,0
5260,21,11,2,0,0,0,0,0
5260,49,11,1,0,0,0,0,0
5260,92,11,1,0,0,0,0,0
5263,10,11,1,0,0,0,0,0
5263,59,11,1,0,0,0,0,0
5263,108,11,1,0,0,0,0,0
5263,121,11,1,0,0,0,0,0
5263,168,11,1,0,0,0,0,0
5270,15,11,1,0,0,0,0,0
5270,22,11,1,0,0,0,0,0
5270,47,11,1,0,0,0,0,0
5270,58,11,1,0,0,0,0,0
5276,6,11,1,0,0,0,0,0
5276,15,11,1,0,0,0,0,0
5276,22,11,1,0,0,0,0,0
5276,32,11,1,0,0,0,0,0
5276,39,11,1,0,0,0,0,0
5276,47,11,1,0,0,0,0,0
5285,16,11,1,0,0,0,0,0
5285,17,11,1,0,0,0,0,0
5285,51,11,1,0,0,1,0,0
5285,52,11,1,0,0,1,0,0
5285,53,11,1,0,0,0,0,0
5285,54,11,1,0,0,0,0,0
5285,55,11,1,0,0,1,0,0
5285,58,11,1,0,0,0,0,0
5294,2,11,1,0,0,0,0,0
5294,3,11,1,0,0,0,0,0
5294,4,11,1,0,0,0,0,0
5294,5,11,1,0,0,0,0,0
5294,108,11,1,0,0,0,0,0
5294,113,11,1,0,0,0,0,0
5294,116,11,1,0,0,0,0,0
5296,56,11,1,0,0,0,0,0
5296,57,11,1,0,0,0,0,0
5296,103,11,1,0,0,0,0,0
5296,104,11,1,0,0,0,0,0
5296,149,11,1,0,0,0,0,0
5296,150,11,1,0,0,0,0,0
5296,153,11,1,0,0,0,1,0
5297,9,11,1,0,0,0,0,0
5297,10,11,1,0,0,0,0,0
5297,11,11,1,0,1,0,0,0
5297,12,11,1,0,0,0,0,0
5297,74,11,1,0,0,0,0,0
5297,75,11,1,0,0,0,0,0
5297,76,11,1,0,0,0,0,0
5297,79,11,1,0,0,0,0,0
5312,58,11,1,0,0,1,0,0
5312,90,11,1,0,0,0,0,0
5312,108,11,1,0,0,0,0,0
5312,112,11,1,0,0,0,0,0
5312,113,11,1,0,0,0,0,0
5312,114,11,1,0,0,0,0,0
5313,13,11,1,0,0,0,0,0
5313,15,11,1,0,0,0,0,0
5313,16,11,1,0,0,0,0,0
5313,21,11,1,0,0,0,0,0
5313,22,11,1,0,0,0,0,0
5313,23,11,1,0,0,0,0,0
5313,48,11,1,0,0,0,0,0
5313,49,11,1,0,0,0,0,0
5321,33,11,1,0,0,0,0,0
5321,43,11,1,0,0,0,0,0
5321,179,11,1,0,0,0,0,0
5321,180,11,1,0,0,1,0,0
5321,195,11,1,0,0,0,0,0
5321,211,11,1,0,0,0,0,0
5321,214,11,1,0,0,0,0,0
5330,35,11,1,0,0,0,0,0
5330,38,11,1,0,0,0,0,0
5330,45,11,1,0,0,0,0,0
5330,59,11,1,0,0,1,0,0
5330,62,11,1,0,0,0,0,0
5330,74,11,1,0,0,1,0,0
5330,106,11,1,0,1,0,0,0
5346,22,11,1,0,0,0,0,0
5346,66,11,2,0,0,0,0,0
5346,96,11,1,0,0,0,0,0
5354,27,11,1,0,0,0,0,0
5354,56,11,1,0,0,0,0,0
5354,70,11,1,0,0,0,0,0
5354,84,11,1,0,0,0,0,0
5354,99,11,1,0,0,0,0,0
5354,112,11,1,0,0,0,0,0
5354,126,11,1,0,0,0,0,0
5354,140,11,1,0,0,0,0,0
5361,8,11,1,0,0,0,0,0
5361,20,11,1,0,0,0,0,0
5361,33,11,1,0,0,0,0,0
5361,45,11,1,0,0,0,0,0
5361,82,11,1,0,0,0,0,0
5361,104,11,1,0,0,0,0,0
5362,4,11,1,0,0,0,0,0
5362,34,11,1,0,0,0,0,0
5362,49,11,1,0,0,0,0,0
5362,79,11,1,0,0,0,0,0
5362,95,11,1,0,0,0,0,0
5362,124,11,1,0,0,0,0,0
